ra,fase,turma,nome,anonasc,idade22,gnero,anoingresso,instituiodeensino,pedra20,pedra21,pedra22,inde22,cg,cf,ct,nav,avaliador1,recav1,avaliador2,recav2,avaliador3,recav3,avaliador4,recav4,iaa,ieg,ips,recpsicologia,ida,matem,portug,ingls,indicado,atingiupv,ipv,ian,faseideal,defas,destaqueieg,destaqueida,destaqueipv,ano,inde2023,fase_pedra_ano,nomeanonimizado,datadenasc,idade,pedra23,inde23,ipp,mat,por,ing,defasagem,destaqueipv1,inde2024,avaliador5,avaliador6,escola,ativoinativo,ativoinativo1,aluno_id
RA-751,,K,Aluno-751,2011.0,11.0,Menino,2022,Escola Pública,,,Quartzo,5.246,808.0,187.0,11.0,2.0,Avaliador-11,Não avaliado,Avaliador-3,Não avaliado,,Não avaliado,,,8.5,5.8,7.5,Não atendido,3.8,2.7,4.9,,Não,Não,6.167,5.0,Fase 2 (5º e 6º ano),-2.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-751
RA-752,,K,Aluno-752,2011.0,11.0,Menina,2022,Escola Pública,,,Topázio,8.197,86.0,22.0,4.0,2.0,Avaliador-11,Promovido de Fase + Bolsa,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,10.0,9.0,7.5,Não atendido,9.5,9.6,9.4,,Sim,Sim,8.417,5.0,Fase 2 (5º e 6º ano),-2.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-752
RA-753,,K,Aluno-753,2014.0,8.0,Menina,2022,Escola Pública,,,Topázio,8.481,37.0,8.0,2.0,2.0,Avaliador-11,Promovido de Fase + Bolsa,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,9.5,8.6,7.5,Não atendido,9.1,9.4,8.8,,Sim,Sim,8.417,10.0,ALFA  (2º e 3º ano),0.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-753
RA-754,,K,Aluno-754,2013.0,9.0,Menino,2022,Escola Pública,,,Ágata,6.602,626.0,169.0,9.0,2.0,Avaliador-11,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,10.0,5.8,4.4,Não indicado,7.9,7.8,8.1,,Não,Não,6.917,5.0,Fase 1 (4º ano),-1.0,Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-754
RA-755,,K,Aluno-755,2014.0,8.0,Menino,2022,Escola Pública,,,Topázio,8.566,29.0,4.0,1.0,2.0,Avaliador-11,Promovido de Fase + Bolsa,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,9.5,9.2,6.9,Não atendido,9.5,9.8,9.3,,Sim,Não,8.083,10.0,ALFA  (2º e 3º ano),0.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-755
RA-756,,K,Aluno-756,2013.0,9.0,Menino,2022,Escola Pública,,,Ágata,6.976,495.0,142.0,8.0,2.0,Avaliador-11,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,10.0,7.9,7.5,Não atendido,5.7,5.6,5.8,,Não,Não,7.25,5.0,Fase 1 (4º ano),-1.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-756
RA-757,,K,Aluno-757,2013.0,9.0,Menina,2022,Escola Pública,,,Topázio,8.26,71.0,18.0,3.0,2.0,Avaliador-11,Promovido de Fase + Bolsa,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,9.5,9.3,7.5,Não atendido,9.7,9.9,9.6,,Sim,Sim,8.5,5.0,Fase 1 (4º ano),-1.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-757
RA-758,,L,Aluno-758,2013.0,9.0,Menino,2022,Escola Pública,,,Ametista,7.911,166.0,45.0,5.0,2.0,Avaliador-13,Promovido de Fase,Avaliador-3,Promovido de Fase,,Não avaliado,,,9.0,9.1,7.5,Não atendido,8.1,8.0,8.2,,Não,Não,8.333,5.0,Fase 1 (4º ano),-1.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-758
RA-759,,L,Aluno-759,2012.0,10.0,Menina,2021,Escola Pública,,Ágata,Ametista,7.563,288.0,81.0,7.0,2.0,Avaliador-13,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,9.0,8.6,7.5,Não atendido,7.5,8.3,6.7,,Não,Não,7.833,5.0,Fase 2 (5º e 6º ano),-2.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-759
RA-760,,L,Aluno-760,2011.0,11.0,Menino,2021,Escola Pública,,Ametista,Topázio,8.172,94.0,25.0,2.0,2.0,Avaliador-13,Promovido de Fase,Avaliador-3,Promovido de Fase,,Não avaliado,,,9.0,9.2,7.5,Não atendido,8.8,9.3,8.2,,Não,Sim,8.917,5.0,Fase 2 (5º e 6º ano),-2.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-760
RA-761,,L,Aluno-761,2013.0,9.0,Menino,2022,Escola Pública,,,Topázio,8.06,130.0,36.0,3.0,2.0,Avaliador-13,Promovido de Fase,Avaliador-3,Promovido de Fase,,Não avaliado,,,10.0,9.4,7.5,Não atendido,8.2,8.8,7.5,,Não,Não,8.25,5.0,Fase 1 (4º ano),-1.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-761
RA-762,,L,Aluno-762,2010.0,12.0,Menino,2022,Escola Pública,,,Ametista,7.28,402.0,118.0,10.0,2.0,Avaliador-13,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,10.0,9.7,7.5,Não atendido,6.7,7.3,6.0,,Não,Não,7.083,2.5,Fase 3 (7º e 8º ano),-3.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-762
RA-763,,L,Aluno-763,2012.0,10.0,Menina,2021,Escola Pública,,Ágata,Ametista,7.402,361.0,109.0,9.0,2.0,Avaliador-13,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,9.5,9.7,7.5,Não atendido,6.5,6.3,6.7,,Não,Não,7.167,5.0,Fase 2 (5º e 6º ano),-2.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-763
RA-764,,L,Aluno-764,2014.0,8.0,Menino,2022,Escola Pública,,,Ametista,8.004,141.0,38.0,4.0,2.0,Avaliador-13,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,9.0,8.8,7.5,Não atendido,7.5,7.2,7.8,,Não,Não,7.667,10.0,ALFA  (2º e 3º ano),0.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-764
RA-765,,L,Aluno-765,2013.0,9.0,Menino,2022,Escola Pública,,,Ágata,6.902,523.0,149.0,11.0,2.0,Avaliador-13,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,8.5,9.3,7.5,Não atendido,4.3,5.0,3.7,,Não,Não,7.417,5.0,Fase 1 (4º ano),-1.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-765
RA-766,,L,Aluno-766,2011.0,11.0,Menina,2020,Escola Pública,Ametista,Ametista,Topázio,8.185,88.0,23.0,1.0,2.0,Avaliador-13,Promovido de Fase,Avaliador-3,Promovido de Fase,,Não avaliado,,,10.0,9.5,7.5,Não atendido,8.7,8.5,8.8,,Não,Não,8.333,5.0,Fase 2 (5º e 6º ano),-2.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-766
RA-767,,L,Aluno-767,2012.0,10.0,Menino,2021,Escola Pública,,Ametista,Ametista,7.511,304.0,87.0,8.0,2.0,Avaliador-13,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,9.5,9.0,7.5,Não atendido,7.0,7.3,6.7,,Não,Não,7.583,5.0,Fase 2 (5º e 6º ano),-2.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-767
RA-768,,L,Aluno-768,2012.0,10.0,Menina,2021,Escola Pública,,Ametista,Ametista,7.646,255.0,71.0,6.0,2.0,Avaliador-13,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,9.0,10.0,7.5,Não atendido,7.1,7.0,7.2,,Não,Não,7.583,5.0,Fase 2 (5º e 6º ano),-2.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-768
RA-769,,M,Aluno-769,2013.0,9.0,Menina,2022,Escola Pública,,,Ametista,7.598,272.0,76.0,3.0,2.0,Avaliador-11,Promovido de Fase + Bolsa,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,10.0,7.5,7.5,Não avaliado,7.9,9.6,6.2,,Sim,Sim,8.5,5.0,Fase 1 (4º ano),-1.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-769
RA-770,,M,Aluno-770,2015.0,7.0,Menino,2022,Escola Pública,,,Topázio,8.143,101.0,28.0,1.0,2.0,Avaliador-11,Promovido de Fase,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,9.5,8.9,7.5,Não avaliado,8.3,8.5,8.1,,Não,Não,7.333,10.0,ALFA  (2º e 3º ano),0.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-770
RA-771,,M,Aluno-771,2015.0,7.0,Menina,2022,Escola Pública,,,Ametista,7.873,179.0,49.0,2.0,2.0,Avaliador-11,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,10.0,8.3,7.5,Não avaliado,7.0,7.2,6.9,,Não,Não,7.5,10.0,ALFA  (2º e 3º ano),0.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-771
RA-772,,M,Aluno-772,2011.0,11.0,Menino,2021,Escola Pública,,Quartzo,Ágata,6.994,490.0,139.0,5.0,2.0,Avaliador-11,Promovido de Fase,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,9.0,5.4,7.5,Não avaliado,9.2,9.3,9.2,,Não,Não,7.25,5.0,Fase 2 (5º e 6º ano),-2.0,Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-772
RA-773,,M,Aluno-773,2013.0,9.0,Menina,2022,Escola Pública,,,Ágata,6.922,520.0,147.0,6.0,2.0,Avaliador-11,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,10.0,6.8,5.0,Não indicado,8.1,9.3,6.8,,Não,Não,7.083,5.0,Fase 1 (4º ano),-1.0,Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-773
RA-774,,M,Aluno-774,2014.0,8.0,Menina,2022,Escola Pública,,,Ametista,7.587,280.0,78.0,4.0,2.0,Avaliador-11,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,10.0,7.8,7.5,Não avaliado,6.1,7.8,4.4,,Não,Não,7.417,10.0,ALFA  (2º e 3º ano),0.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-774
RA-775,,N,Aluno-775,2012.0,10.0,Menino,2021,Escola Pública,,Ágata,Quartzo,5.79,751.0,182.0,7.0,2.0,Avaliador-13,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,7.9,5.7,4.4,Não indicado,5.7,5.5,5.8,,Não,Não,6.417,5.0,Fase 2 (5º e 6º ano),-2.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-775
RA-776,,N,Aluno-776,2013.0,9.0,Menina,2022,Escola Pública,,,Quartzo,3.898,856.0,190.0,9.0,2.0,Avaliador-13,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,0.0,4.3,4.4,Requer avaliação,1.7,0.0,3.3,,Não,Não,6.333,5.0,Fase 1 (4º ano),-1.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-776
RA-777,,N,Aluno-777,2014.0,8.0,Menino,2022,Escola Pública,,,Ametista,7.096,457.0,133.0,4.0,2.0,Avaliador-13,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,8.0,7.7,7.5,Não atendido,5.3,6.5,4.0,,Não,Não,7.0,10.0,ALFA  (2º e 3º ano),0.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-777
RA-778,,N,Aluno-778,2013.0,9.0,Menina,2021,Escola Pública,,Topázio,Ametista,7.432,342.0,100.0,3.0,2.0,Avaliador-13,Promovido de Fase,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,10.0,6.7,7.5,Não atendido,7.1,6.0,8.2,,Não,Sim,8.833,5.0,Fase 1 (4º ano),-1.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-778
RA-779,,N,Aluno-779,2012.0,10.0,Menino,2022,Escola Pública,,,Quartzo,5.702,760.0,183.0,8.0,2.0,Avaliador-13,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,9.5,5.0,7.5,Não atendido,2.6,2.2,3.0,,Não,Não,7.083,5.0,Fase 2 (5º e 6º ano),-2.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-779
RA-780,,N,Aluno-780,2013.0,9.0,Menina,2022,Escola Pública,,,Ágata,6.955,502.0,143.0,6.0,2.0,Avaliador-13,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,8.0,7.6,7.5,Não atendido,6.9,6.3,7.5,,Não,Não,7.167,5.0,Fase 1 (4º ano),-1.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-780
RA-781,,N,Aluno-781,2013.0,9.0,Menina,2021,Escola Pública,,Topázio,Ametista,7.786,205.0,54.0,1.0,2.0,Avaliador-13,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,10.0,8.9,7.5,Não atendido,8.3,8.0,8.5,,Não,Não,7.75,5.0,Fase 1 (4º ano),-1.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-781
RA-782,,N,Aluno-782,2014.0,8.0,Menino,2022,Escola Pública,,,Ametista,7.485,317.0,93.0,2.0,2.0,Avaliador-13,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,9.5,8.4,7.5,Não atendido,6.0,5.7,6.3,,Não,Não,7.0,10.0,ALFA  (2º e 3º ano),0.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-782
RA-783,,N,Aluno-783,2014.0,8.0,Menino,2021,Escola Pública,,Ametista,Ágata,6.996,487.0,138.0,5.0,2.0,Avaliador-13,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,9.5,5.8,7.5,Não atendido,6.0,4.7,7.3,,Não,Não,6.917,10.0,ALFA  (2º e 3º ano),0.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-783
RA-784,,O,Aluno-784,2013.0,9.0,Menino,2022,Escola Pública,,,Topázio,8.34,54.0,14.0,1.0,2.0,Avaliador-13,Promovido de Fase,Avaliador-3,Promovido de Fase,,Não avaliado,,,9.5,10.0,7.5,Não atendido,8.2,7.8,8.5,,Não,Sim,9.25,5.0,Fase 1 (4º ano),-1.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-784
RA-785,,O,Aluno-785,2013.0,9.0,Menina,2022,Escola Pública,,,Ametista,7.642,256.0,72.0,4.0,2.0,Avaliador-13,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,9.0,8.6,7.5,Não atendido,8.4,8.8,8.0,,Não,Não,7.667,5.0,Fase 1 (4º ano),-1.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-785
RA-786,,O,Aluno-786,2011.0,11.0,Menino,2019,Escola Pública,Quartzo,Quartzo,Ágata,7.004,485.0,137.0,11.0,2.0,Avaliador-13,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,9.0,9.5,5.6,Não indicado,6.1,6.3,5.8,,Não,Não,7.167,5.0,Fase 2 (5º e 6º ano),-2.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-786
RA-787,,O,Aluno-787,2014.0,8.0,Menino,2022,Escola Pública,,,Ametista,7.205,426.0,127.0,9.0,2.0,Avaliador-13,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,8.5,9.5,7.5,Não atendido,3.4,4.2,2.7,,Não,Não,7.25,10.0,ALFA  (2º e 3º ano),0.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-787
RA-788,,O,Aluno-788,2014.0,8.0,Menino,2021,Rede Decisão,,Topázio,Topázio,8.264,68.0,17.0,2.0,2.0,Avaliador-13,Promovido de Fase,Avaliador-3,Promovido de Fase,,Não avaliado,,,10.0,9.3,5.6,Requer avaliação,8.0,7.8,8.2,,Não,Sim,8.667,10.0,ALFA  (2º e 3º ano),0.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-788
RA-789,,O,Aluno-789,2015.0,7.0,Menina,2022,Escola Pública,,,Ametista,7.405,359.0,108.0,7.0,2.0,Avaliador-13,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,9.0,9.4,7.5,Não atendido,4.2,3.7,4.7,,Não,Não,7.417,10.0,ALFA  (2º e 3º ano),0.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-789
RA-790,,O,Aluno-790,2011.0,11.0,Menina,2022,Escola Pública,,,Ametista,7.504,307.0,89.0,6.0,2.0,Avaliador-13,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,9.0,8.9,7.5,Não atendido,7.8,8.5,7.2,,Não,Não,7.417,5.0,Fase 2 (5º e 6º ano),-2.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-790
RA-791,,O,Aluno-791,2011.0,11.0,Menina,2022,Escola Pública,,,Ametista,7.507,306.0,88.0,5.0,2.0,Avaliador-13,Promovido de Fase,Avaliador-3,Promovido de Fase,,Não avaliado,,,9.5,8.7,7.5,Não atendido,6.5,6.3,6.7,,Não,Sim,8.5,5.0,Fase 2 (5º e 6º ano),-2.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-791
RA-792,,O,Aluno-792,2013.0,9.0,Menina,2022,Escola Pública,,,Ágata,7.025,480.0,136.0,10.0,2.0,Avaliador-13,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,9.5,8.0,7.5,Não atendido,6.2,6.5,5.8,,Não,Não,7.167,5.0,Fase 1 (4º ano),-1.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-792
RA-793,,O,Aluno-793,2012.0,10.0,Menino,2022,Escola Pública,,,Ágata,6.894,527.0,151.0,12.0,2.0,Avaliador-13,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,9.5,7.6,7.5,Não atendido,6.0,6.0,6.0,,Não,Não,7.333,5.0,Fase 2 (5º e 6º ano),-2.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-793
RA-794,,O,Aluno-794,2014.0,8.0,Menina,2022,Escola Pública,,,Ametista,7.335,381.0,114.0,8.0,2.0,Avaliador-13,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,9.5,8.9,7.5,Não atendido,4.1,3.7,4.5,,Não,Não,7.333,10.0,ALFA  (2º e 3º ano),0.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-794
RA-795,,O,Aluno-795,2014.0,8.0,Menina,2022,Escola Pública,,,Topázio,8.064,126.0,35.0,3.0,2.0,Avaliador-13,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,9.0,9.7,7.5,Não atendido,7.3,8.0,6.5,,Não,Não,7.333,10.0,ALFA  (2º e 3º ano),0.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-795
RA-796,,Q,Aluno-796,2012.0,10.0,Menina,2022,Escola Pública,,,Ametista,7.232,416.0,123.0,3.0,2.0,Avaliador-13,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,9.5,9.3,7.5,Não atendido,5.4,5.8,5.0,,Não,Não,7.667,5.0,Fase 2 (5º e 6º ano),-2.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-796
RA-797,,Q,Aluno-797,2012.0,10.0,Menino,2021,Escola Pública,,Ágata,Ametista,7.217,421.0,126.0,4.0,2.0,Avaliador-13,Promovido de Fase,Avaliador-3,Promovido de Fase,,Não avaliado,,,9.0,8.5,7.5,Não atendido,7.3,8.2,6.5,,Não,Não,7.5,5.0,Fase 2 (5º e 6º ano),-2.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-797
RA-798,,Q,Aluno-798,2012.0,10.0,Menino,2022,Escola Pública,,,Ametista,7.049,472.0,135.0,5.0,2.0,Avaliador-13,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,8.0,8.3,7.5,Não atendido,6.3,7.0,5.7,,Não,Não,7.667,5.0,Fase 2 (5º e 6º ano),-2.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-798
